STT,Từ khóa chính,Tỉnh thành,Bài viết,BTV,NV deadline,Bài đăng,PIC xin và gắn link ảnh,PIC Đăng lại,PC QC,Trạng thái
1,things to do in ho chi minh,HCM,https://docs.google.com/document/d/1oi0qZS1HycnxuwIwgFeLh9VY7LPcIyF5rS5OWCIdHTg/edit?usp=sharing,Lô,P.Anh 21/2,https://www.vietnamairlines.com/us/en/useful-information/travel-guide/things-to-do-in-hcm,,,,Chưa triển khai
2,ho chi minh shopping mall,HCM,https://docs.google.com/document/d/1j4Oraes_LtiGx8v7_WNIRNw28gOUN8p4AeehSFl0zCk/edit?tab=t.0,Phương,C Thy - 6/2,https://www.vietnamairlines.com/us/en/useful-information/travel-guide/ho-chi-minh-shopping-mall,,,,Chưa triển khai
3,district 7 ho chi minh,HCM,https://docs.google.com/document/d/1rs2joWuDkieCQjxL5E_oBTiIzjuI6I_kxRtMtsSIV7E/edit?copiedFromTrash&tab=t.0#heading=h.tcm43gypl4kw,Phương,C Thy - 6/2,https://www.vietnamairlines.com/us/en/useful-information/travel-guide/district-7-ho-chi-minh,,,,Chưa triển khai
4,district 1 hcmc,HCM,https://docs.google.com/document/d/1O0bFcdp2zuwUdlCGrqeE9FFSYCgrx5YNeyp4Hiw5BaI/edit?tab=t.0,Phương,C Thy - 6/2,https://www.vietnamairlines.com/us/en/useful-information/travel-guide/district-1-hcmc,,,,Chưa triển khai
5,ho chi minh city night market,HCM,https://docs.google.com/document/d/1XLFu0qGXXq9oUV1NNbF2WGQGmA6Gr_rMbA5QH2_UPGQ/edit?tab=t.0#heading=h.skok0hgou5cd,Lô,P.Anh,https://www.vietnamairlines.com/us/en/useful-information/travel-guide/ho-chi-minh-city-night-market,,,,Chưa triển khai
6,saigon square vietnam,HCM,https://docs.google.com/document/d/1OUejRh7iibs4D48sionNzgalBIxKeAn3gSaTGFIpaos/edit?tab=t.0,Phương,C Thy - 7/2,https://www.vietnamairlines.com/us/en/useful-information/travel-guide/saigon-square-vietnam,,,,Chưa triển khai
7,floating market in vietnam,HCM,https://docs.google.com/document/d/1hsiZxYDgyAL8PCObt735Wb2JQpIfxgKC1dbg4m9b2Kw/edit?tab=t.0,Hạnh,Hạnh 21/2,https://www.vietnamairlines.com/us/en/useful-information/travel-guide/floating-market-in-vietnam,,,,Chưa triển khai
8,saigon market,HCM,https://docs.google.com/document/d/1L2k_PxaOWo8MprZSKCAT8NHhVrukeShxLcFPmJCM95A/edit?tab=t.0,Lô,P.Anh,https://www.vietnamairlines.com/us/en/useful-information/travel-guide/saigon-market,,,,Chưa triển khai
9,street food ho chi minh,HCM,https://docs.google.com/document/d/1JWnjRLaZXAS1hJIVfmAeCloWuCNK6BIZ4aUMomdsViE/edit?tab=t.0#heading=h.s69f8ky2d90w,Phương,,https://www.vietnamairlines.com/us/en/useful-information/travel-guide/street-food-ho-chi-minh,,,,Chưa triển khai
10,best pho in hcmc,HCM,https://docs.google.com/document/d/1Ayc9hWNQqNNFKLc1_tvDc4ee8tZifxyzbi-vqr3FnSs/edit?tab=t.0#heading=h.ho7vztq21n4t,Lô,P.Anh 23/2,https://www.vietnamairlines.com/us/en/useful-information/travel-guide/best-pho-in-hcmc,,,,Chưa triển khai
11,best banh mi ho chi minh,HCM,https://docs.google.com/document/d/1Oz0t451suqHDBOPNKmpaOQxFdl2n1Kz7Or9R-qPjh3A/edit?tab=t.0,Lô,P.Anh 23/2,https://www.vietnamairlines.com/us/en/useful-information/travel-guide/best-banh-mi-ho-chi-minh,,,,Chưa triển khai
12,notre dame cathedral of saigon,HCM,https://docs.google.com/document/d/1OQ-fs74H63gVxm1URApwEOU_CO61LtALw54ANO6Qe8c/edit?usp=sharing,Hạnh,Hạnh 21/2,https://www.vietnamairlines.com/us/en/useful-information/travel-guide/notre-dame-cathedral-of-sai-gon,,,,Chưa triển khai
13,unusual things to do in ho chi minh city,HCM,https://docs.google.com/document/d/1WuyIEh-VhIoNMu7TYXRwQABCgQuMzz-HEVPckAtEuQA/edit?usp=sharing,Lô,P.Anh 25/2,https://www.vietnamairlines.com/us/en/useful-information/travel-guide/unusual-things-to-do-in-ho-chi-minh,,,,Chưa triển khai
14,saigon opera house ho chi minh city,HCM,https://docs.google.com/document/d/1gG_XRyzw0QaBJ0Qpqxe4bcYeBoZjqpTBVY16jyz6zuI/edit?usp=sharing,Hạnh,Hạnh 21/2,https://www.vietnamairlines.com/us/en/useful-information/travel-guide/saigon-opera-house-ho-chi-minh-city,,,,Chưa triển khai
15,the cafe apartments,HCM,https://docs.google.com/document/d/1ojH6FAWZzw3lPCjrBL6mmxEoxZFxHl47Kv_g6OUfK7Q/edit?tab=t.0#heading=h.s69f8ky2d90w,Phương,C Thy - 7/2,https://www.vietnamairlines.com/us/en/useful-information/travel-guide/the-cafe-apartment,,,,Chưa triển khai
16,museum in ho chi minh city,HCM,https://docs.google.com/document/d/1b22Rx6wSnffJNbrLW8miLj2DAjRsQsdkMAOULTMtSQE/edit?tab=t.0,Lô,P.Anh 25/2,https://www.vietnamairlines.com/us/en/useful-information/travel-guide/museum-in-ho-chi-minh,,,,Chưa triển khai
17,vietnam war museum ho chi minh,HCM,https://docs.google.com/document/d/1sqjTI4PDzH1WEPTiO8GciK7TKyWmphNt1GOpjKx-hGI/edit?tab=t.0#heading=h.s69f8ky2d90w,Phương,C Thy - 7/2,https://www.vietnamairlines.com/us/en/useful-information/travel-guide/vietnam-war-museum-ho-chi-minh,,,,Chưa triển khai
18,museum of ho chi minh city,HCM,https://docs.google.com/document/d/1vwbVWYYxZKqqKwuVD6xaJS2H7Ykl1oe_bn0ZGMZNtaw/edit?tab=t.0,Phương,,https://www.vietnamairlines.com/us/en/useful-information/travel-guide/museum-of-ho-chi-minh-city,,,,Chưa triển khai
19,map of mekong delta,HCM,https://docs.google.com/document/d/1h8KPyY2XASlExISdB9N_Gg0Phqb2-JeAsUm9fgxACZg/edit?tab=t.0,Phương,C Thy - 7/2,https://www.vietnamairlines.com/us/en/useful-information/travel-guide/map-of-mekong-delta,,,,Chưa triển khai
20,mekong delta in vietnam,HCM,https://docs.google.com/document/d/1H72BZhZMAe9QLFIp1jiNxAY_E9eKctdqXK8g5TaTyqU/edit?tab=t.0,Phương,C Thy - 7/2,https://www.vietnamairlines.com/us/en/useful-information/travel-guide/mekong-delta-in-vietnam,,,,Chưa triển khai
21,landmark 81 ho chi minh,HCM,https://docs.google.com/document/d/1N8ohLar9isUeIDmiTRDdvMt7_TU3yAy3Bls350ogGU0/edit?tab=t.0,Phương,C Thy - 13/2,https://www.vietnamairlines.com/us/en/useful-information/travel-guide/landmark-81-ho-chi-minh,,,,Chưa triển khai
22,nguyen hue walking street,HCM,https://docs.google.com/document/d/1cOJTVB3w94phesPq95oqh_qP_J2IYfWIZosRxwI7Dfc/edit?tab=t.0,Phương,C Thy - 13/2,https://www.vietnamairlines.com/us/en/useful-information/travel-guide/nguyen-hue-walking-street,,,,Chưa triển khai
23,independence palace ho chi minh,HCM,https://docs.google.com/document/d/19LI0NLMKQ1OxaZw_37hapljN8FOL8jP_8uDA33WtL_A/edit?usp=sharing,Lô,N.Anh 3/3,https://www.vietnamairlines.com/us/en/useful-information/travel-guide/independence-palace-ho-chi-minh,,,,Chưa triển khai
24,cu chi tunnels,HCM,https://docs.google.com/document/d/1yHGhpNst0E0iEdPYVG8-qh9Mz9i4WJcAZ_Hf48Nbv_4/edit?tab=t.0,Hạnh,Hạnh 24/2,https://www.vietnamairlines.com/us/en/useful-information/travel-guide/cu-chi-tunnels,,,,Chưa triển khai
25,russian market hcmc,HCM,https://docs.google.com/document/d/1xemdUgtEV_mPtBZRKwFINVO-kdXtMhUnarpxgZtWSeE/edit?tab=t.0,Phương,C Thy - 13/2,https://www.vietnamairlines.com/us/en/useful-information/travel-guide/russian-market,,,,Chưa triển khai
26,chinatown ho chi minh,HCM,https://docs.google.com/document/d/1KRMcnYcXwR8gnPMzwMCOmVX7Z7D2KaCzG3NDySLoU2g/edit?tab=t.0#heading=h.2l9r0miakqlz,Hạnh,Hạnh 7/3,https://www.vietnamairlines.com/us/en/useful-information/travel-guide/chinatown-ho-chi-minh,,,,Chưa triển khai
27,saigon central post office,HCM,https://docs.google.com/document/d/1DgdWA7LzTq2HkwqmhkH9w-vbQRvoepw4pRgBX2j0Rqg/edit?tab=t.0,Hạnh,,https://www.vietnamairlines.com/us/en/useful-information/travel-guide/saigon-central-post,,,,Chưa triển khai
28,bui vien walking street,HCM,https://docs.google.com/document/d/1eFmCLQtyxyrIH2kHx6majD6rMguimZf5BT_wz4KrBBw/edit?tab=t.0,Hạnh,Bảo Ngọc 12/3,https://www.vietnamairlines.com/us/en/useful-information/travel-guide/bui-vien-walking-street,,,,Chưa triển khai
29,ben thanh market,HCM,https://docs.google.com/document/d/1Spj5DTOmzCfBgxL1vjrIutFGKAy2YVcduCQEDEk7LMg/edit?usp=sharing,Lô,P.Anh 6/3,https://www.vietnamairlines.com/us/en/useful-information/travel-guide/ben-thanh-market,,,,Chưa triển khai
30,ho chi minh city museum of fine arts,HCM,https://docs.google.com/document/d/1ZAfotEPPsb75gjVwjiYZP6D6bnInbkdXcl0UDZ32QHA/edit?usp=sharing,Hạnh,Hạnh 7/3,https://www.vietnamairlines.com/us/en/useful-information/travel-guide/ho-chi-minh-city-museum-of-fine-arts,,,,Chưa triển khai
31,districts in ho chi minh,HCM,https://docs.google.com/document/d/1SZPOhD6BnJk--ImwOkYUa_D4tQCkCE496x-6m88EMRY/edit?tab=t.0,Phương,C Thy - 13/2,https://www.vietnamairlines.com/us/en/useful-information/travel-guide/districts-in-ho-chi-minh,,,,Chưa triển khai
32,airport ho chi minh to city,HCM,https://docs.google.com/document/d/10gVgzbUiHTxbwWqiHiIY83lcJ5rulL8TWvjq2m2-7zI/edit?tab=t.0,Phương,C Thy - 13/2,https://www.vietnamairlines.com/us/en/useful-information/travel-guide/airport-ho-chi-minh-to-city,,,,Chưa triển khai
