STT,Từ khóa chính,Tỉnh thành,Bài viết,BTV,NV deadline cũ,Bài đăng,PIC xin và gắn link ảnh,PIC Đăng lại,PC QC,Trạng thái
1,hà nội đi đâu chơi,Hà Nội,https://docs.google.com/document/d/13ruOmJ2hvBdg6W9_6rqHGa9ZtRqqz_OaIWUokXxQcqQ/edit?tab=t.0,Châu Anh,Châu Anh - 18/2,https://www.vietnamairlines.com/vn/vi/useful-information/travel-guide/ha-noi-di-dau-choi,,,,Chưa triển khai
2,món ăn Hà Nội,Hà Nội,https://docs.google.com/document/d/1I3BhZJVGJMtFm37VfIkSOkdoaF0puLVxtnG6J7-Q7Vc/edit?tab=t.0,Châu Anh,Châu Anh - 18/3,https://www.vietnamairlines.com/vn/vi/useful-information/travel-guide/mon-an-ha-noi,,,,Chưa triển khai
3,đặc sản Hà Nội,Hà Nội,https://docs.google.com/document/d/1TSMf00dOzHJBtc5UBHdEn1vnxnVaPrCCqMgZ2MwaOEs/edit?tab=t.0,Châu Anh,Châu Anh - 18/4,https://www.vietnamairlines.com/vn/vi/useful-information/travel-guide/dac-san-ha-noi,,,,Chưa triển khai
4,bánh đặc sản hà nội,Hà Nội,https://docs.google.com/document/d/17L0dbxrgB_b1Z_QF6NgmcAqSyu5ff2weTMgjqJh9P9k/edit?usp=sharing,Hạnh,Hạnh 18/2,https://www.vietnamairlines.com/vn/vi/useful-information/travel-guide/banh-dac-san-ha-noi,,,,Chưa triển khai
5,ăn đêm hà nội,Hà Nội,https://docs.google.com/document/d/127x75famfhqNM94XYE2aF51IZTpc3L6hLSn3e4g0T6E/edit?usp=sharing,Hạnh,Hạnh 18/2,https://www.vietnamairlines.com/vn/vi/useful-information/travel-guide/an-dem-ha-noi,,,,Chưa triển khai
6,ăn gì ở côn đảo,Bà Rịa - Vũng Tàu,https://docs.google.com/document/d/17PTeiQYWeLUHXmIyBUVpgZPBlzZQlQMjn1_NtIcXc8c/edit?tab=t.0,Châu Anh,C Hà Phương 25/2,https://www.vietnamairlines.com/vn/vi/useful-information/travel-guide/an-gi-o-con-dao,,,,Chưa triển khai
7,côn đảo có gì chơi,Bà Rịa - Vũng Tàu,https://docs.google.com/document/d/17A_CCN6iU5AXXpPwhINXboQhj2RVAUUiThfw7YBYKvg/edit?tab=t.0,Châu Anh,C Hà Phương 25/2,https://www.vietnamairlines.com/vn/vi/useful-information/travel-guide/con-dao-co-gi-choi,,,,Chưa triển khai
8,bảo tàng côn đảo,Bà Rịa - Vũng Tàu,https://docs.google.com/document/d/1jTqEQfXa2OSo1VB_O8HBSJNoBs3KFBcZRUW5ktLPAWE/edit?tab=t.0#heading=h.85ke3misknnv,Châu Anh,Mai Phương 25/2,https://www.vietnamairlines.com/vn/vi/useful-information/travel-guide/bao-tang-con-dao,,,,Chưa triển khai
9,chợ côn đảo,Bà Rịa - Vũng Tàu,https://docs.google.com/document/d/1KAZ0pcJPiPdWWVihNOGhZYqrejZ4HniNg711fg1dmtk/edit?tab=t.0#heading=h.8jfw21b7hgnu,Châu Anh,Mai Phương 25/2,https://www.vietnamairlines.com/vn/vi/useful-information/travel-guide/cho-con-dao,,,,Chưa triển khai
10,nhà tù côn đảo,Bà Rịa - Vũng Tàu,https://docs.google.com/document/d/1ovWWn_JfgO5-B_BxX30eC602kRG6E49pSaxHkgXJhC0/edit?tab=t.0#heading=h.jsn77l9vlf4e,Châu Anh,Mai Phương 25/2,https://www.vietnamairlines.com/vn/vi/useful-information/travel-guide/nha-tu-con-dao,,,,Chưa triển khai
11,sân bay côn đảo,Bà Rịa - Vũng Tàu,https://docs.google.com/document/d/18xmcdx5Ntrg90zoKDCoHSEGftftOfA7lJdaRiC0NwSc/edit?tab=t.0,Châu Anh,Mai Phương 25/2,https://www.vietnamairlines.com/vn/vi/useful-information/travel-guide/san-bay-con-dao,,,,Chưa triển khai
12,vườn quốc gia côn đảo,Bà Rịa - Vũng Tàu,https://docs.google.com/document/d/1fI18NvvgtLN0JlxlZE1BsE6zPIbREg8tftr8Q0BK1-g/edit?tab=t.0,Châu Anh,Mai Phương 25/2,https://www.vietnamairlines.com/vn/vi/useful-information/travel-guide/vuon-quoc-gia-con-dao,,,,Chưa triển khai
13,bánh mì xíu mại đà lạt,Lâm Đồng,https://docs.google.com/document/d/1IilYR8rQ432eqJjLxMTTpZlv2g4_uGY3aOYk9wG5Ujk/edit?tab=t.0,Hạnh,Hân 3/3,https://www.vietnamairlines.com/vn/vi/useful-information/travel-guide/banh-mi-xiu-mai-da-lat,,,,Chưa triển khai
14,bánh tráng nướng đà lạt,Lâm Đồng,https://docs.google.com/document/d/1hgK52TiT0Ax7f2LVeZ402SmSYsEIHK8EvXDd2RrTMl8/edit?tab=t.0,Hạnh,Hân 6/3,https://www.vietnamairlines.com/vn/vi/useful-information/travel-guide/banh-trang-nuong-da-lat,,,,Chưa triển khai
15,cafe đà lạt,Lâm Đồng,https://docs.google.com/document/d/1ViR1rqgJ8bgPf0t8GRs4PIt-C--wRX0cW8brPsCXMZ8/edit?tab=t.0,Hạnh,Hạnh 12/3,https://www.vietnamairlines.com/vn/vi/useful-information/travel-guide/cafe-da-lat,,,,Chưa triển khai
16,cơm niêu đà lạt,Lâm Đồng,https://docs.google.com/document/d/11eN1SvrtjBrcVMq_QwttBI7NVmdxnwWiRw4aiF8sQTw/edit?tab=t.0,Hạnh,Hân 6/3,https://www.vietnamairlines.com/vn/vi/useful-information/travel-guide/com-nieu-da-lat,,,,Chưa triển khai
17,gà nướng cơm lam đà lạt,Lâm Đồng,https://docs.google.com/document/d/1eIR-oKnwcRcekIOrU4wjzjMAmlVYp-G_reCpD6104OA/edit?tab=t.0,Hạnh,Hân 12/3,https://www.vietnamairlines.com/vn/vi/useful-information/travel-guide/ga-nuong-com-lam-da-lat,,,,Chưa triển khai
18,kem bơ đà lạt,Lâm Đồng,https://docs.google.com/document/d/11ywIJJowuRO9w5ndrCVEfBm846fqzUbq76nyTIQ_uMU/edit?tab=t.0,Hạnh,Hân 5/3,https://www.vietnamairlines.com/vn/vi/useful-information/travel-guide/kem-bo-da-lat,,,,Chưa triển khai
19,lẩu gà lá é đà lạt,Lâm Đồng,https://docs.google.com/document/d/16mJfmCv4C2HhPLSI6OFE7UopMf7phWvuCESOcGHF_DU/edit?tab=t.0,Hạnh,Hân 6/3,https://www.vietnamairlines.com/vn/vi/useful-information/travel-guide/lau-ga-la-e-da-lat,,,,Chưa triển khai
20,quán nướng đà lạt,Lâm Đồng,https://docs.google.com/document/d/1Q4kbwsCw0fsChyZEGwgXQM8WY9JvFTafO59YOOf-R1M/edit?tab=t.0,Hạnh,Hân 12/3,https://www.vietnamairlines.com/vn/vi/useful-information/travel-guide/quan-nuong-da-lat,,,,Chưa triển khai
21,ăn sáng đà lạt,Lâm Đồng,https://docs.google.com/document/d/1LXX36TefiSXrJ71Qa9qeKlVV0u-wwbuVSHm0SL14kcE/edit?tab=t.0,Châu Anh,C Thy 13/3,https://www.vietnamairlines.com/vn/vi/useful-information/travel-guide/an-sang-da-lat,,,,Chưa triển khai
22,cảnh đẹp đà lạt,Lâm Đồng,https://docs.google.com/document/d/16rjg1lbTY4cCq3mL-_7iRMsvpdMVFT31sjRZG_-Y1HI/edit?usp=sharing,Hạnh,Hân 12/3,https://www.vietnamairlines.com/vn/vi/useful-information/travel-guide/canh-dep-da-lat,,,,Chưa triển khai
23,đà lạt có gì chơi,Lâm Đồng,https://docs.google.com/document/d/14YpGFmDIX50VeuDrpOpXXj1j-1nMVncx-Kc89IiTm00/edit?tab=t.0,Hạnh,Hạnh 12/3,https://www.vietnamairlines.com/vn/vi/useful-information/travel-guide/da-lat-co-gi-choi,,,,Chưa triển khai
24,đặc sản đà lạt,Lâm Đồng,https://docs.google.com/document/d/1bgt-NDwdzi5APSgY6UakZPbAc067pK-On2ufEnKDiO0/edit?usp=sharing,Hạnh,Hân 4/3,https://www.vietnamairlines.com/vn/vi/useful-information/travel-guide/dac-san-da-lat,,,,Chưa triển khai
